Job_Title,Experience_Level,avg_total_compensation
"Advisory Analyst ","1 year or less",44000.000000
"Advisory Manager","8 - 10 years",125000.000000
"Advisory Software Engineer","21 - 30 years",138000.000000
"Advocacy and Grassroot Specialist","2 - 4 years",59400.000000
"Advocacy and Outreach Associate","2 - 4 years",58000.000000
"Advocacy and Policy Officer","8 - 10 years",67100.000000
"Advocacy Manager","5-7 years",55000.000000
"Advocacy Officer","2 - 4 years",56000.000000
"Advocate ","8 - 10 years",50000.000000
Advosor,"8 - 10 years",107000.000000
"Aerospace Design Engineer","8 - 10 years",96700.000000
"Aerospace Design Engineer","11 - 20 years",77000.000000
"AEROSPACE ENGINEER","41 years or more",120000.000000
"Aerospace Engineer","5-7 years",112750.000000
"Aerospace Engineer","11 - 20 years",111500.000000
"aerospace engineer","21 - 30 years",108870.000000
"Aerospace engineer","8 - 10 years",105000.000000
"Aerospace Engineer","2 - 4 years",88666.666667
"Aerospace engineer ","5-7 years",104000.000000
"aerospace machinist ","11 - 20 years",85400.000000
"Aerospace Planning Analyst","8 - 10 years",72300.000000
"Affiliate account manager ","2 - 4 years",57500.000000
"Affordable Housing Manager","8 - 10 years",67000.000000
"After School Program Leader","8 - 10 years",27000.000000
"Aftermarket Sales Manager","8 - 10 years",53980.000000
"Agency Attorney","8 - 10 years",91000.000000
"Agency Attorney","5-7 years",86400.000000
"Agency Buyer","5-7 years",39000.000000
"Agency Cost Allocation Accountant","31 - 40 years",70720.000000
"Agency Recruiter ","2 - 4 years",73000.000000
"Agent ","11 - 20 years",29000.000000
"Aggregation Quality Analyst","5-7 years",63120.000000
"Agile Coach","21 - 30 years",166000.000000
"Agile Coach","11 - 20 years",137666.666667
"Agile Coach","31 - 40 years",100000.000000
"Agile Journey Owner","21 - 30 years",157000.000000
"Agile Project Management","11 - 20 years",94000.000000
"Agile team lead","11 - 20 years",106000.000000
AGM,"11 - 20 years",130000.000000
"Agricultural Supply line Negotiating consultant","2 - 4 years",1160000.000000
Agriculturist,"11 - 20 years",120000.000000
"Agronomist ","2 - 4 years",82175.500000
"Agronomy research associate ","2 - 4 years",36000.000000
"AI consultant","8 - 10 years",133500.000000
"Air Export Supervisor","8 - 10 years",66500.000000
"Air Force Fighter Pilot","11 - 20 years",169000.000000
"Air Traffic Control Specialist","5-7 years",105000.000000
"Air Traffic Controller","21 - 30 years",215000.000000
"Air traffic controller ","2 - 4 years",108500.000000
"Aircraft Dispatcher","8 - 10 years",150000.000000
"Aircraft Maintenance Technician","5-7 years",57080.000000
"Airline Operations","8 - 10 years",62000.000000
"Airport Security Officer","2 - 4 years",40000.000000
"Airworthiness Engineer","21 - 30 years",93000.000000
"Algorithm developer","5-7 years",500000.000000
"All Purpose Food Clerk","11 - 20 years",40000.000000
"All Source Intelligence Analyst ","8 - 10 years",110000.000000
"Alliance Manager","8 - 10 years",104400.000000
"Alumni Development Specialist ","2 - 4 years",35100.000000
"Alumni Relations Coordinator","5-7 years",72000.000000
"Alumni Relations Coordinator","2 - 4 years",48000.000000
"Alumni Relations Officer","2 - 4 years",63140.000000
"Alumni Relations Officer","11 - 20 years",60380.000000
"Amazon Timekeeping HR Admin","2 - 4 years",1002000.000000
"Ambulatory care pharmacist","8 - 10 years",161810.000000
"American Sign Language/English Interpreter","5-7 years",87000.000000
"Americorps Member","5-7 years",15400.000000
"AmeriCorps Program Coordinator","2 - 4 years",49900.000000
"AML Investigator","2 - 4 years",66000.000000
analyst,"11 - 20 years",117277.240000
Analyst,"21 - 30 years",98166.666667
Analyst,"5-7 years",79306.666667
Analyst,"1 year or less",70438.461538
Analyst,"2 - 4 years",69285.909091
Analyst,"8 - 10 years",67684.285714
"Analyst ","11 - 20 years",91000.000000
"Analyst ","5-7 years",72500.000000
"Analyst ","2 - 4 years",42000.000000
"Analyst II","2 - 4 years",78000.000000
"Analyst Manager","8 - 10 years",71500.000000
"Analyst programmer","21 - 30 years",51500.000000
"Analyst, principal ","8 - 10 years",181000.000000
"Analyst/ Supervisor","2 - 4 years",91000.000000
"Analyst/Technical Account Manager","11 - 20 years",85000.000000
"Analysts ","21 - 30 years",175000.000000
"Analytic Consultant","21 - 30 years",100000.000000
"Analytic Science Specialist","2 - 4 years",105000.000000
"Analytical Assistant Team Supervisor","8 - 10 years",65877.000000
"Analytical Biologist","8 - 10 years",102000.000000
"Analytical Investigator","11 - 20 years",70000.000000
"Analytical Linguist","5-7 years",145000.000000
"Analytical technical services manager","8 - 10 years",75000.000000
Analytics,"11 - 20 years",180000.000000
"Analytics Engineer","11 - 20 years",108000.000000
"Analytics Manager","11 - 20 years",137500.000000
"Analytics Manager","8 - 10 years",119120.000000
"Analytics Manager","5-7 years",117166.666667
"Analytics Manager","2 - 4 years",73000.000000
"Analytics Manager Sr","8 - 10 years",157500.000000
"Analytics Manager, Strategic Planning","21 - 30 years",91000.000000
"Analytics Specialist","11 - 20 years",132500.000000
"Android Engineer","2 - 4 years",92500.000000
Anesthesiologist,"5-7 years",300000.000000
"Animal Care and Research Technician ","11 - 20 years",45000.000000
"Animal care technician","2 - 4 years",53300.000000
"Animal Care Worker","11 - 20 years",26200.000000
"Animal Caregiver","5-7 years",25010.000000
"animal control officer","11 - 20 years",82908.000000
"Animal Curator","21 - 30 years",50000.000000
"Animal keeper","21 - 30 years",32000.000000
"Animation TV Writer","5-7 years",83000.000000
Animator,"5-7 years",68000.000000
"Annual Fund and Database Manager","11 - 20 years",52500.000000
"Annual Fund Manager","8 - 10 years",66000.000000
"Annual Fund Manager","11 - 20 years",54125.000000
"Annual Giving Manager","5-7 years",56368.000000
"AP Admin ","8 - 10 years",38000.000000
"AP Senior Anaylst","11 - 20 years",68151.000000
"AP/Payroll coordinator","21 - 30 years",41350.000000
"APAC Digital Marketing Specialist","8 - 10 years",126500.000000
"Apparel Designer","8 - 10 years",95000.000000
"Apparel technical designer","8 - 10 years",151000.000000
"Apparel Technical Designer","5-7 years",52100.000000
"Appeal adjudicator","11 - 20 years",50560.000000
"Appellate Attorney","8 - 10 years",86500.000000
"Appellate attorney","11 - 20 years",77586.000000
"Appellate Judicial Law Clerk","2 - 4 years",68000.000000
"Apple platforms engineer","11 - 20 years",140000.000000
"Apple Technology Specialist","11 - 20 years",29120.000000
"Appliance specialist","31 - 40 years",33530.000000
"Applicaion Developer III","11 - 20 years",72000.000000
"Application Analyst","11 - 20 years",172500.000000
"Application Analyst","1 year or less",60000.000000
"Application Architect","11 - 20 years",162000.000000
"Application Consultant","11 - 20 years",40000.000000
"Application Consultant ","21 - 30 years",85000.000000
"Application Developer","2 - 4 years",99000.000000
"Application Developer","21 - 30 years",82000.000000
"Application Developer","5-7 years",74750.000000
"Application Developer","8 - 10 years",68593.333333
"Application Developer","11 - 20 years",65000.000000
"Application Developer Senior","31 - 40 years",167000.000000
"Application Development Analyst","1 year or less",73625.000000
"Application Development Analyst","2 - 4 years",59500.000000
"Application Development Manager","21 - 30 years",90000.000000
"Application Engineer Lead","31 - 40 years",110000.000000
"Application Manager","11 - 20 years",58000.000000
"Application Portfolio Manager","11 - 20 years",109000.000000
"Application Security Engineer ","11 - 20 years",100000.000000
"Application Specialist","21 - 30 years",107500.000000
"Application Specialist II","21 - 30 years",72592.000000
"Application Support Analyst","8 - 10 years",42500.000000
"Application Support Engineer","11 - 20 years",157000.000000
"Application Support Engineer Expert","21 - 30 years",50500.000000
"Application Support Manager","11 - 20 years",127000.000000
"Application Support Manager","21 - 30 years",94000.000000
"Application Support Specialist","11 - 20 years",55000.000000
"Application Support Specialist II","11 - 20 years",85000.000000
"Application Support Technician II","21 - 30 years",67500.000000
"Application Systems Analyst","11 - 20 years",70500.000000
"Application Technica Analyst","11 - 20 years",89000.000000
"Application Trainer Advanced ","11 - 20 years",49500.000000
"Application Trainer Advanved ","11 - 20 years",49500.000000
"Applications Administrator","21 - 30 years",74500.000000
"Applications analyst","8 - 10 years",75000.000000
"Applications Developer","31 - 40 years",123400.000000
"Applications Engineer","5-7 years",95596.500000
"Applications Engineer","2 - 4 years",85500.000000
"Applications Specialist","11 - 20 years",106000.000000
"Applied cryptographer","2 - 4 years",165100.000000
"Applied Data Scientist","1 year or less",75000.000000
"Applied Scientist","11 - 20 years",84000.000000
"appraiser assistant","8 - 10 years",56000.000000
"Appraiser III","21 - 30 years",65000.000000
"Apprentice business administrator ","1 year or less",18500.000000
"Apprentice Early Years Assistant","1 year or less",19760.000000
"Apprentice Finish Carpenter","2 - 4 years",36500.000000
"Apprentice Mechanic for Construction Machinery","2 - 4 years",11900.000000
"Apprentice Technical Systems Analyst","2 - 4 years",25000.000000
APRN,"2 - 4 years",118000.000000
Aquarist,"5-7 years",35100.000000
"Aquatic Supervisor","21 - 30 years",76000.000000
"Aquatics Director","5-7 years",67000.000000
"Aquatics Director ","8 - 10 years",47000.000000
"AR Administrative Assistant","2 - 4 years",43638.000000
"AR Collector","11 - 20 years",32240.000000
"AR Manager","21 - 30 years",53000.000000
"Arbitration Rep","5-7 years",56000.000000
Arborist,"2 - 4 years",48000.000000
Archaeologist,"5-7 years",62333.333333
Archaeologist,"21 - 30 years",56388.000000
Archaeologist,"11 - 20 years",50645.750000
"Archaeologist ","11 - 20 years",78000.000000
Architect,"21 - 30 years",120000.000000
Architect,"11 - 20 years",104869.750000
Architect,"8 - 10 years",90500.000000
Architect,"2 - 4 years",78000.000000
Architect,"5-7 years",35000.000000
"Architect ","11 - 20 years",345000.000000
"Architect ","8 - 10 years",90000.000000
"Architect, Quality Engineering","8 - 10 years",142500.000000
"Architect, Senior Project Manager ","11 - 20 years",115000.000000
"Architectural Associate","11 - 20 years",58000.000000
"Architectural Designer","5-7 years",65386.000000
"Architectural Designer","2 - 4 years",64366.666667
"Architectural Designer","21 - 30 years",61500.000000
"Architectural Designer","8 - 10 years",55000.000000
"Architectural Designer ","2 - 4 years",58000.000000
"Architectural Drafting Technician II","11 - 20 years",64215.000000
"Architectural Historian","2 - 4 years",41000.000000
"Architectural intern","2 - 4 years",46000.000000
"Architectural Intern","1 year or less",41600.000000
"Architectural Project Coordinator ","2 - 4 years",60000.000000
"Architectural Project Manager","21 - 30 years",77000.000000
"Architectural Project Manager/Designer","8 - 10 years",79000.000000
"Architectural renderer","11 - 20 years",69000.000000
"Architectural Technologist","11 - 20 years",70000.000000
"Architectural Technologist","5-7 years",58000.000000
"Architectural Technologist","8 - 10 years",47775.000000
"Archival assistant","5-7 years",65000.000000
"Archive Assistant","11 - 20 years",21179.000000
"Archive photo manager","2 - 4 years",28000.000000
"Archives & Records Manager","11 - 20 years",52000.000000
"Archives Assistant","5-7 years",37500.000000
"Archives assistant","11 - 20 years",24000.000000
"Archives Associate","11 - 20 years",32350.000000
"Archives Supervisor","31 - 40 years",97282.000000
"Archives technician","8 - 10 years",37000.000000
Archivist,"2 - 4 years",71700.000000
Archivist,"8 - 10 years",70315.000000
Archivist,"11 - 20 years",65425.625000
Archivist,"21 - 30 years",63680.000000
Archivist,"5-7 years",41623.333333
"Archivist ","5-7 years",53107.333333
"Archivist ","11 - 20 years",23100.000000
"Archivist -- Project Manager","5-7 years",70000.000000
"Archivist and Records Manager","5-7 years",62271.000000
"Archivist and Records Manager ","8 - 10 years",50000.000000
"Archivist/Records Manager","8 - 10 years",55000.000000
"Area Coordinator ","8 - 10 years",108796.000000
"Area Director of Revenue Management","11 - 20 years",90000.000000
"Area Lead Process Engineer","11 - 20 years",132000.000000
"Area Manager","11 - 20 years",152500.000000
"Area Manager","2 - 4 years",72200.000000
"Area Manager","5-7 years",55000.000000
"Area Retail Sales Manager","5-7 years",98000.000000
"Area Sales Manager","8 - 10 years",75500.000000
"Area sales manager ","1 year or less",49000.000000
"Armored Car Driver","8 - 10 years",36112.000000
ARNP,"11 - 20 years",142500.000000
"Art and Humanities Librarian","5-7 years",61500.000000
"Art Coordinator","2 - 4 years",31200.000000
"Art Curator and Professor","8 - 10 years",410000.000000
"art director","31 - 40 years",130000.000000
"Art Director","11 - 20 years",108225.500000
"Art Director","21 - 30 years",106666.666667
"Art Director","5-7 years",92500.000000
"Art Director","2 - 4 years",49600.000000
"Art Director ","21 - 30 years",82500.000000
"Art director ","11 - 20 years",48000.000000
"Art Director for Games","21 - 30 years",48000.000000
"Art Director of (sub category)","11 - 20 years",315000.000000
"Art Gallery Manager ","2 - 4 years",50000.000000
"art handler","11 - 20 years",41600.000000
"Art restoration technician","11 - 20 years",33000.000000
"Art Teacher","21 - 30 years",104000.000000
"Art teacher","11 - 20 years",43800.000000
"Art Teacher","5-7 years",35500.000000
"Art-in-Architecture Manager","31 - 40 years",93132.000000
"Articling Student","2 - 4 years",88400.000000
"articling student, accounting","11 - 20 years",45000.000000
"Artist Coordinator","5-7 years",23000.000000
"Artist Manager","11 - 20 years",67000.000000
"Artistic Director","21 - 30 years",42000.000000
"Artistic Planning Manager","5-7 years",41500.000000
"Arts Director","11 - 20 years",120000.000000
"Arts Education Director","2 - 4 years",19100.000000
"Arts Producer","8 - 10 years",72000.000000
"Asia Pacific Sales Manager","5-7 years",75000.000000
"Asisstant Professor","11 - 20 years",68000.000000
"ASL Interpreter and Transcriber","11 - 20 years",62000.000000
"assembly worker","41 years or more",43476.000000
"Assessment Associate","5-7 years",58500.000000
"Assessment content specialist ","11 - 20 years",50000.000000
"Assessment Coordinator","21 - 30 years",110000.000000
"Assessment Coordinator","11 - 20 years",45000.000000
"Assessment Developer ","11 - 20 years",83500.000000
"Assessment officer","2 - 4 years",72399.000000
"Asset Analyst","5-7 years",47761.000000
"Asset Forfeiture Specialist","2 - 4 years",57100.000000
"Asset Inspector","21 - 30 years",70500.000000
"Asset Manager","5-7 years",95000.000000
"Asset manager","11 - 20 years",78000.000000
"Asset Manager","8 - 10 years",75000.000000
"Asset Protection ","11 - 20 years",45760.000000
"Asset Protection ","31 - 40 years",34200.000000
Assistant,"21 - 30 years",54133.333333
Assistant,"5-7 years",45000.000000
Assistant,"2 - 4 years",35300.000000
Assistant,"11 - 20 years",34640.000000
Assistant,"8 - 10 years",15900.000000
"Assistant ","21 - 30 years",53376.000000
"Assistant ","8 - 10 years",28000.000000
"Assistant Account Executive","1 year or less",58500.000000
"Assistant Account Executive ","5-7 years",48000.000000
"Assistant Account Manager","21 - 30 years",29388.000000
"assistant accountant","11 - 20 years",32000.000000
"Assistant Acquisitions Editor","8 - 10 years",43607.000000
"Assistant Actuary","11 - 20 years",126500.000000
"Assistant Administrator","11 - 20 years",62063.000000
"Assistant Advisor","5-7 years",37000.000000
"Assistant Analyst","2 - 4 years",52000.000000
"Assistant Archivist","2 - 4 years",26000.000000
"Assistant Attorney General","11 - 20 years",120000.000000
"Assistant Attorney General","8 - 10 years",80250.000000
"Assistant Attorney General","2 - 4 years",70019.000000
"Assistant auditor","2 - 4 years",27000.000000
"Assistant Bank Manager","5-7 years",71000.000000
"Assistant Bookkeeper","11 - 20 years",36150.000000
"Assistant Branch Manager","11 - 20 years",57687.500000
"Assistant Branch Manager","2 - 4 years",56000.000000
"Assistant Branch Manager","5-7 years",52072.500000
"Assistant Branch Manager ","2 - 4 years",51750.000000
"Assistant Brand Manager","5-7 years",80000.000000
"Assistant Brand Manager","2 - 4 years",71900.000000
"Assistant Buyer","5-7 years",57500.000000
"Assistant Buyer","2 - 4 years",55500.000000
"Assistant Buyer","21 - 30 years",43000.000000
"Assistant Center Store Manager","11 - 20 years",44000.000000
"Assistant Center Store Manager","5-7 years",36000.000000
"Assistant Character Designer","8 - 10 years",52000.000000
"Assistant Chief Counsel","11 - 20 years",172000.000000
"Assistant city attorney","21 - 30 years",84400.000000
"Assistant City Attorney I","2 - 4 years",75000.000000
"Assistant City Planner","2 - 4 years",59613.000000
"Assistant Clinical Professor of Law","11 - 20 years",115000.000000
"Assistant Commissioner","21 - 30 years",124000.000000
"Assistant Commissioner","11 - 20 years",90000.000000
"Assistant commissioner ","11 - 20 years",62000.000000
"assistant communications director","11 - 20 years",104500.000000
"Assistant Community Library Manager","21 - 30 years",61000.000000
"Assistant Company Secretary","8 - 10 years",46000.000000
"Assistant controller","11 - 20 years",108186.666667
"Assistant Controller","21 - 30 years",91350.000000
"Assistant Controller","5-7 years",91000.000000
"Assistant Controller","8 - 10 years",61850.000000
"Assistant Controller ","11 - 20 years",220000.000000
"Assistant Controller ","2 - 4 years",84000.000000
"Assistant Counsel","8 - 10 years",112000.000000
"Assistant Counsel","21 - 30 years",100000.000000
"Assistant Counsel","11 - 20 years",82000.000000
"Assistant county attorney","11 - 20 years",95000.000000
"Assistant Court Clerk – Temporary","2 - 4 years",28600.000000
"Assistant Creative Director","1 year or less",50000.000000
"Assistant Curate","11 - 20 years",24975.000000
"Assistant Curator ","8 - 10 years",58500.000000
"Assistant Customer Service Manager","11 - 20 years",54000.000000
"Assistant Dean","21 - 30 years",123500.000000
"Assistant Dean","11 - 20 years",89469.500000
"Assistant Dean for Undergraduate Admissions and Student Services","11 - 20 years",135000.000000
"Assistant Dean of Admissions","11 - 20 years",100000.000000
"Assistant Department Head","21 - 30 years",60000.000000
"Assistant Deputy Director","11 - 20 years",155000.000000
"Assistant Deputy Minister","11 - 20 years",126300.000000
"Assistant designer ","11 - 20 years",46000.000000
"Assistant Digital Marketing Manager","2 - 4 years",51000.000000
"Assistant Dir. of Admissions","8 - 10 years",44000.000000
"Assistant Director","11 - 20 years",116525.000000
"Assistant Director","8 - 10 years",67112.500000
"Assistant Director","5-7 years",63953.500000
"Assistant Director","2 - 4 years",52250.000000
"Assistant Director","21 - 30 years",45166.666667
"Assistant director ","11 - 20 years",88472.727273
"Assistant Director ","8 - 10 years",84850.000000
"Assistant Director ","2 - 4 years",65000.000000
"Assistant Director ","5-7 years",47200.000000
"Assistant Director - Medical Library","8 - 10 years",67000.000000
"Assistant Director & District Consultant","11 - 20 years",81000.000000
"Assistant Director Business Intelligence","11 - 20 years",82000.000000
"Assistant Director Communication","11 - 20 years",110000.000000
"Assistant Director of Academic Advising","11 - 20 years",57000.000000
"Assistant Director of Admission","8 - 10 years",54250.000000
"Assistant Director of Admission","5-7 years",48500.000000
"Assistant Director of Admissions","11 - 20 years",50000.000000
"Assistant Director of Admissions","5-7 years",46250.000000
"Assistant Director of Advancement Services","8 - 10 years",50300.000000
"assistant director of annual fundraising","11 - 20 years",84000.000000
"Assistant Director of Communications","11 - 20 years",61866.666667
"Assistant Director of Communications and Partnerships","8 - 10 years",83000.000000
"Assistant Director of Development","5-7 years",57250.000000
"Assistant Director of Development ","11 - 20 years",69000.000000
"Assistant Director of Development ","5-7 years",55000.000000
"Assistant Director of Development Research","5-7 years",65000.000000
"Assistant Director of Direct Marketing","11 - 20 years",97300.000000
"Assistant Director of Education","8 - 10 years",58266.666667
"Assistant Director of Education","11 - 20 years",41750.000000
"Assistant Director of Education ","11 - 20 years",55000.000000
"Assistant Director of Finance","21 - 30 years",84333.333333
"Assistant Director of Finance","8 - 10 years",70500.000000
"Assistant director of finance ","8 - 10 years",53000.000000
"Assistant Director of Graduate Admissions","21 - 30 years",71000.000000
"Assistant Director of Health & Counseling Services","21 - 30 years",60000.000000
"Assistant Director of Housing and Residence Life","5-7 years",44000.000000
"Assistant Director of HR","11 - 20 years",82000.000000
"Assistant Director of HR","5-7 years",51000.000000
"Assistant Director of Individual Giving","11 - 20 years",93475.000000
"Assistant Director of Institutional Research","11 - 20 years",109000.000000
"Assistant Director of Institutional Research","8 - 10 years",90000.000000
"Assistant Director of Major Gifts","8 - 10 years",75000.000000
"Assistant Director of Marketing, International Giving and Engagement","11 - 20 years",5100.000000
"Assistant Director of Operations-Public Utilities","11 - 20 years",83000.000000
"Assistant Director of Prospect Research","11 - 20 years",101143.000000
"Assistant director of research","8 - 10 years",78000.000000
"Assistant Director of Residence Life","2 - 4 years",51000.000000
"Assistant Director of Special Events","11 - 20 years",76000.000000
"Assistant Director of Study Abroad","8 - 10 years",65000.000000
"Assistant Director of the Social Work Department","11 - 20 years",77000.000000
"Assistant Director of Undergraduate Admissions","5-7 years",58300.000000
"Assistant Director of University Libraries","41 years or more",115000.000000
"Assistant Director Public Relations","5-7 years",50500.000000
"Assistant Director Special Projects","21 - 30 years",97000.000000
"Assistant Director-Residence Life","8 - 10 years",33000.000000
"Assistant Director, Academic  Advising","11 - 20 years",61000.000000
"Assistant Director, Admissions","8 - 10 years",78000.000000
"Assistant Director, Admissions Operations","11 - 20 years",63000.000000
"Assistant Director, Annual Giving","2 - 4 years",62500.000000
"Assistant Director, Benefits","21 - 30 years",66310.000000
"Assistant Director, Brand, Marketing, and Communications","11 - 20 years",125000.000000
"Assistant director, communications","11 - 20 years",83000.000000
"Assistant Director, Data Integrity","8 - 10 years",72000.000000
"Assistant Director, Direct Marketing","11 - 20 years",78750.000000
"Assistant Director, Finance","5-7 years",65000.000000
"Assistant Director, Gifts and Record Management","8 - 10 years",67000.000000
"Assistant Director, Graduate Admissions","8 - 10 years",60000.000000
"Assistant Director, Health Promotion","11 - 20 years",72000.000000
"Assistant Director, HR","11 - 20 years",60750.000000
"Assistant Director, Human Resources","11 - 20 years",96900.000000
"Assistant Director, International Student Services","8 - 10 years",42000.000000
"Assistant Director, Internship Program","11 - 20 years",42237.000000
"Assistant Director, Marketing & Communications","8 - 10 years",58000.000000
"Assistant Director, Operations & Events","11 - 20 years",55000.000000
"Assistant Director, Phonathon Program","2 - 4 years",64220.000000
"Assistant Director, Professional School","11 - 20 years",76000.000000
"Assistant Director, Stewardship","5-7 years",64000.000000
"Assistant Director, Student Advancement","8 - 10 years",49800.000000
"Assistant Director, Student Affairs","11 - 20 years",50000.000000
"Assistant Director, Student Services","5-7 years",48500.000000
"Assistant Director/Adult Svcs Coordinator","21 - 30 years",70000.000000
"Assistant District Attorney","11 - 20 years",92000.000000
"assistant district attorney","8 - 10 years",82434.333333
"Assistant District Attorney","5-7 years",77125.000000
"Assistant District Attorney ","5-7 years",63500.000000
"Assistant District Attornry","11 - 20 years",120000.000000
"Assistant Editor","5-7 years",56875.000000
"Assistant Editor","11 - 20 years",46000.000000
"Assistant editor","8 - 10 years",43800.000000
"Assistant Editor","2 - 4 years",12000.000000
"Assistant Editorial Manager","8 - 10 years",58000.000000
"Assistant English Professor","11 - 20 years",41000.000000
"Assistant Fabrication Manager","8 - 10 years",34000.000000
"Assistant Fashion Designer","5-7 years",35000.000000
"Assistant Federal Public Defender","21 - 30 years",173000.000000
"Assistant Film Editor","5-7 years",120000.000000
"Assistant Finance Director","31 - 40 years",98000.000000
"Assistant General Counsel","31 - 40 years",480000.000000
"Assistant General Counsel","11 - 20 years",262500.000000
"Assistant General Counsel","21 - 30 years",243333.333333
"Assistant General Counsel","8 - 10 years",204450.000000
"Assistant General Counsel","5-7 years",126000.000000
"Assistant General Manager","8 - 10 years",50500.000000
"Assistant General Manager","11 - 20 years",45000.000000
"Assistant General manager ","11 - 20 years",58080.000000
"Assistant Headteacher ","11 - 20 years",48396.000000
"Assistant High School Band Director","8 - 10 years",72500.000000
"Assistant Laboratory Supervisor","5-7 years",37000.000000
"Assistant leader of maths","8 - 10 years",440000.000000
"Assistant Learning Center Coordinato","8 - 10 years",36400.000000
"Assistant Legal Counsel","8 - 10 years",70000.000000
"Assistant Librarian","5-7 years",50363.000000
"Assistant librarian","8 - 10 years",45333.333333
"Assistant librarian","11 - 20 years",41625.000000
"Assistant Librarian","2 - 4 years",37354.000000
"Assistant Librarian/Professor","11 - 20 years",63000.000000
"Assistant Library Director","8 - 10 years",90000.000000
"Assistant Library Director","11 - 20 years",62500.000000
"Assistant Library Director/Systems Librarian","5-7 years",55200.000000
"Assistant Library Manager","8 - 10 years",66449.000000
"Assistant Manager","8 - 10 years",55750.000000
"Assistant Manager","5-7 years",46518.375000
"Assistant Manager","11 - 20 years",38974.571429
"Assistant Manager","2 - 4 years",36925.750000
"Assistant manager ","2 - 4 years",45000.000000
"Assistant Manager ","8 - 10 years",40500.000000
"Assistant Manager ","11 - 20 years",33000.000000
"Assistant Manager ","5-7 years",31000.000000
"Assistant Manager, Subsidiary Rights","11 - 20 years",54000.000000
"Assistant manager/shift supervisor","11 - 20 years",60000.000000
"assistant managing editor","11 - 20 years",90566.666667
"Assistant Marketing Director","11 - 20 years",68000.000000
"Assistant Marketing Manager","5-7 years",50000.000000
"Assistant Marketing Manager\Graphic Designer","8 - 10 years",50500.000000
"Assistant Media Buyer","5-7 years",54553.000000
"Assistant Media Relations Manager","11 - 20 years",32033.000000
"Assistant Merchandiser","5-7 years",20000.000000
"Assistant National Director ","21 - 30 years",70000.000000
"Assistant nature-based preschool teacher ","8 - 10 years",33448.000000
"Assistant Nurse Manager","11 - 20 years",83820.000000
"Assistant Operations Manager","5-7 years",63000.000000
"Assistant Orchestra Librarian","5-7 years",35750.000000
"Assistant Pensions Manager","2 - 4 years",57500.000000
"Assistant Planner","5-7 years",63000.000000
"Assistant Planner","8 - 10 years",50000.000000
"Assistant Principal","2 - 4 years",112000.000000
"Assistant Principal","8 - 10 years",104500.000000
"Assistant Principal","11 - 20 years",67000.000000
"Assistant principal ","11 - 20 years",108000.000000
"Assistant Principal ","21 - 30 years",100000.000000
"Assistant Producer","8 - 10 years",52000.000000
"Assistant Product Manager","8 - 10 years",34350.000000
"Assistant Production Editor","5-7 years",45000.000000
"Assistant Production Editor","2 - 4 years",42000.000000
"Assistant production manager","8 - 10 years",79500.000000
"Assistant Prof","8 - 10 years",120000.000000
"Assistant professor","8 - 10 years",139207.941176
"Assistant Professor","11 - 20 years",93728.923077
"Assistant Professor","5-7 years",92094.828571
"Assistant Professor","2 - 4 years",71566.666667
"Assistant professor","21 - 30 years",70166.666667
"Assistant Professor","1 year or less",64200.000000
"Assistant Professor ","11 - 20 years",92500.000000
"Assistant Professor ","8 - 10 years",84333.333333
"Assistant professor ","2 - 4 years",81000.000000
"Assistant professor ","5-7 years",73375.000000
"Assistant Professor ","1 year or less",72000.000000
"Assistant Professor ","21 - 30 years",48000.000000
"Assistant Professor - Fixed Term","21 - 30 years",175000.000000
"Assistant Professor (Biology)","5-7 years",110000.000000
"Assistant Professor (English Dept.)","11 - 20 years",56300.000000
"Assistant professor (humanities) ","5-7 years",85000.000000
"Assistant Professor (Tenure-Track)","11 - 20 years",85000.000000
"Assistant Professor (Tenure-Track)","8 - 10 years",61400.000000
"Assistant Professor in 2D Foundations","5-7 years",62000.000000
"Assistant Professor in Microbiology","8 - 10 years",95000.000000
"Assistant Professor of Biology","5-7 years",52000.000000
"Assistant Professor of Chemistry and Biochemistry","2 - 4 years",70000.000000
"Assistant Professor of Communication","11 - 20 years",63638.000000
"Assistant Professor of Economics","8 - 10 years",100000.000000
"Assistant Professor of Education","11 - 20 years",54500.000000
"Assistant Professor of English","2 - 4 years",44750.000000
"Assistant Professor of History","11 - 20 years",70000.000000
"Assistant Professor of Instruction","11 - 20 years",66000.000000
"Assistant Professor of Law","2 - 4 years",160000.000000
"Assistant Professor of Music","8 - 10 years",59000.000000
"Assistant Professor of Music","11 - 20 years",40000.000000
"Assistant Professor of Pediatrics","8 - 10 years",162700.000000
"Assistant Professor of Practice ","21 - 30 years",55000.000000
"Assistant Professor, Clinical Teaching Track (NTT)","21 - 30 years",67000.000000
"Assistant Professor, NTT","11 - 20 years",73000.000000
"Assistant Professor, tenure-track","8 - 10 years",45000.000000
"Assistant Professor/Director of Cataloging & Metadata Services","11 - 20 years",64000.000000
"Assistant Program Director","5-7 years",74000.000000
"Assistant Program Director","11 - 20 years",72500.000000
"Assistant Program Manager","5-7 years",56000.000000
"Assistant program officer ","5-7 years",62000.000000
"Assistant Project Engineer","1 year or less",61850.000000
"Assistant Project Engineer ","11 - 20 years",100572.000000
"Assistant Project Manafer","8 - 10 years",85000.000000
"Assistant Project Manager","8 - 10 years",85000.000000
"Assistant Project Manager","5-7 years",70642.857143
