Job_Title,Experience_Level,avg_total_compensation
"Account Executive/Office Manager","2 - 4 years",53000.000000
"Account handler ","11 - 20 years",25600.000000
"Account Lead","8 - 10 years",86000.000000
"Account Management Director","21 - 30 years",165000.000000
"Account management0","5-7 years",61000.000000
"Account Manager","41 years or more",238000.000000
"Account manager","11 - 20 years",97711.578947
"Account Manager","5-7 years",93233.333333
"Account Manager","1 year or less",90000.000000
"Account Manager","31 - 40 years",82830.000000
"account manager","8 - 10 years",73852.941176
"Account Manager","21 - 30 years",70113.400000
"Account manager","2 - 4 years",58665.000000
"Account Manager ","11 - 20 years",122525.000000
"Account Manager ","5-7 years",100000.000000
"Account Manager ","8 - 10 years",81000.000000
"Account manager ","21 - 30 years",78000.000000
"Account Manager ","2 - 4 years",66420.000000
"Account Manager (Display/Social)","2 - 4 years",33000.000000
"Account Manager/Client Relations","11 - 20 years",72000.000000
"Account officer","8 - 10 years",50000.000000
"Account Operations Professional","11 - 20 years",57300.000000
"Account Payable","8 - 10 years",35000.000000
"Account Payable Specialist","11 - 20 years",52000.000000
"Account Receivable Specialist","11 - 20 years",39500.000000
"Account Representative","21 - 30 years",55260.000000
"Account Representative","11 - 20 years",38000.000000
"Account Representative - Editorial","11 - 20 years",62000.000000
"Account Service Representative","5-7 years",37398.000000
"Account Services Representative ","5-7 years",42000.000000
"Account Specialist","5-7 years",69000.000000
"Account Specialist","11 - 20 years",55000.000000
"Account Supervisor","31 - 40 years",100000.000000
"Account Supervisor","2 - 4 years",96000.000000
"Account Supervisor","11 - 20 years",89600.000000
"Account Supervisor","5-7 years",85000.000000
"Account Supervisor","8 - 10 years",74250.000000
"Account Supervisor ","8 - 10 years",90000.000000
"Account Supervisor- PR","8 - 10 years",75000.000000
Accountant,"21 - 30 years",77200.000000
Accountant,"5-7 years",75958.000000
Accountant,"2 - 4 years",66533.333333
Accountant,"11 - 20 years",63985.000000
Accountant,"8 - 10 years",59625.000000
Accountant,"31 - 40 years",58000.000000
accountant,"1 year or less",35000.000000
"Accountant ","2 - 4 years",100400.000000
"Accountant ","11 - 20 years",81900.000000
"Accountant ","8 - 10 years",77000.000000
"accountant ","5-7 years",48000.000000
"Accountant ","1 year or less",45000.000000
"Accountant ","21 - 30 years",25000.000000
"Accountant - tax staff","2 - 4 years",56650.000000
"Accountant 1","5-7 years",45000.000000
"Accountant 1","2 - 4 years",30000.000000
"Accountant II","11 - 20 years",73301.750000
"Accountant III","21 - 30 years",56409.000000
Accountant/Auditor,"21 - 30 years",60000.000000
Accounting,"11 - 20 years",48500.000000
Accounting,"5-7 years",40520.000000
"Accounting  Tech","31 - 40 years",49355.000000
"Accounting & AP Specialist","21 - 30 years",53000.000000
"Accounting & Financial Analysis Manager","11 - 20 years",65000.000000
"ACCOUNTING ADMIN","5-7 years",41600.000000
"Accounting Analyst","5-7 years",63786.666667
"Accounting Analyst","11 - 20 years",59930.500000
"Accounting Analyst ","8 - 10 years",82500.000000
"Accounting Analyst ","5-7 years",58000.000000
"Accounting and Finance Manager","21 - 30 years",96000.000000
"Accounting and office administrator ","8 - 10 years",69333.000000
"Accounting Assistant","5-7 years",52250.000000
"Accounting assistant ","5-7 years",61000.000000
"Accounting Assistant ","8 - 10 years",45000.000000
"Accounting Assistant ","2 - 4 years",38000.000000
"Accounting Assistant ","11 - 20 years",29120.000000
"Accounting Associate","1 year or less",60000.000000
"Accounting Associate (temp)","8 - 10 years",37000.000000
"Accounting Clerk","31 - 40 years",49840.000000
"Accounting Clerk","8 - 10 years",46813.333333
"Accounting Clerk","2 - 4 years",37200.000000
"Accounting Clerk ","21 - 30 years",34632.000000
"Accounting Clerk I","8 - 10 years",39844.000000
"Accounting Consultant","11 - 20 years",147709.000000
"Accounting Coordinator","5-7 years",54000.000000
"Accounting Coordinator","21 - 30 years",36400.000000
"Accounting Director","11 - 20 years",155000.000000
"Accounting Intern","1 year or less",30160.000000
"Accounting Manager","11 - 20 years",105556.842105
"Accounting Manager","31 - 40 years",95500.000000
"Accounting Manager","8 - 10 years",88950.000000
"Accounting Manager","21 - 30 years",85125.000000
"Accounting Manager","5-7 years",85120.000000
"Accounting manager","2 - 4 years",65000.000000
"Accounting Manager ","21 - 30 years",108000.000000
"Accounting manager ","31 - 40 years",80000.000000
"Accounting Paraprofessional","31 - 40 years",52000.000000
"Accounting Specialist","5-7 years",45562.500000
"Accounting Specialist","8 - 10 years",45000.000000
"accounting specialist","21 - 30 years",40000.000000
"Accounting Specialist / H.R. Assistant","2 - 4 years",60000.000000
"Accounting Specialist IV","21 - 30 years",68556.000000
"Accounting Specialist/Human Resource Coordinator","11 - 20 years",46000.000000
"Accounting Supervisor","8 - 10 years",125000.000000
"Accounting supervisor","11 - 20 years",75000.000000
"Accounting Supervisor","21 - 30 years",68200.000000
"Accounting Supervisor ","21 - 30 years",83600.000000
"accounting support","8 - 10 years",44520.000000
"Accounts Assistant - practice","11 - 20 years",21736.000000
"Accounts Executive","11 - 20 years",50700.000000
"Accounts Manager","11 - 20 years",49025.000000
"Accounts manager ","11 - 20 years",85000.000000
"Accounts Payable","5-7 years",57000.000000
"Accounts Payable","31 - 40 years",55000.000000
"Accounts payable","8 - 10 years",52000.000000
"Accounts Payable","11 - 20 years",30160.000000
"Accounts payable","21 - 30 years",28000.000000
"Accounts Payable ","8 - 10 years",41000.000000
"Accounts Payable Administrator","2 - 4 years",53500.000000
"Accounts payable Analyst ","21 - 30 years",91900.000000
"Accounts Payable and Accounts Receivable Manager","11 - 20 years",70000.000000
"Accounts Payable Clerk","8 - 10 years",48000.000000
"Accounts Payable Clerk","11 - 20 years",43680.000000
"Accounts Payable Clerk","2 - 4 years",42000.000000
"Accounts Payable Coordinator","2 - 4 years",36500.000000
"Accounts Payable Lead","11 - 20 years",54000.000000
"Accounts Payable Manager","8 - 10 years",101500.000000
"Accounts Payable Manager","11 - 20 years",87060.000000
"Accounts Payable Manager","21 - 30 years",87000.000000
"Accounts Payable Processor","5-7 years",40000.000000
"Accounts Payable Specialist","21 - 30 years",80000.000000
"Accounts Payable Specialist","11 - 20 years",28850.000000
"Accounts Payable Specialist/Cost Accountant","11 - 20 years",52000.000000
"Accounts Payable Supervisor","31 - 40 years",90000.000000
"Accounts Payable Supervisor","21 - 30 years",75000.000000
"Accounts Payable Supervisor","11 - 20 years",27500.000000
"Accounts Payable/Accounts Receivable","5-7 years",27000.000000
"Accounts Payable/Receivable Clerk","2 - 4 years",38700.000000
"Accounts payables operations analyst","11 - 20 years",45000.000000
"Accounts Receivable","11 - 20 years",50000.000000
"Accounts Receivable","5-7 years",39666.666667
"Accounts Receivable & Accounts Payable","5-7 years",41500.000000
"Accounts receivable admin","8 - 10 years",35500.000000
"Accounts receivable administrator ","8 - 10 years",35000.000000
"Accounts Receivable Associate","31 - 40 years",38810.000000
"Accounts receivable manager","8 - 10 years",67000.000000
"Accounts Receivable Specialist","5-7 years",45000.000000
"Accounts receivable specialist","11 - 20 years",35000.000000
"Accounts receivable supervisor","31 - 40 years",62500.000000
"Accounts Receivable/Accounts Payable","11 - 20 years",49260.000000
"Accounts Senior","5-7 years",35000.000000
"Accounts Trainee","2 - 4 years",27250.000000
"accreditation manager","2 - 4 years",40.000000
"Acquisition Editor","8 - 10 years",63000.000000
"Acquisition program manager","2 - 4 years",61000.000000
"Acquisitions Editor","5-7 years",72000.000000
"Acquisitions editor","8 - 10 years",52700.000000
"Acquisitions Editor ","5-7 years",61000.000000
"acquisitions editor/book editor","11 - 20 years",73000.000000
"Acquistions and Development Manager","31 - 40 years",119000.000000
"Active Treatment Coordinator","5-7 years",66000.000000
"Activities Coordinator","2 - 4 years",54600.000000
"Activities Coordinator ","8 - 10 years",34800.000000
actor,"21 - 30 years",39000.000000
"Actuarial Analyst","2 - 4 years",95000.000000
"Actuarial Analyst","5-7 years",71741.666667
"Actuarial analyst","1 year or less",55000.000000
"Actuarial analyst","11 - 20 years",22000.000000
"Actuarial associate ","8 - 10 years",108500.000000
"Actuarial consultant","21 - 30 years",210000.000000
"Actuarial Consultant","5-7 years",120000.000000
"Actuarial data /systems programmer","11 - 20 years",83000.000000
"Actuarial developer","5-7 years",128000.000000
"Actuarial Director","11 - 20 years",185000.000000
"Actuarial Manager","5-7 years",143000.000000
"Actuarial Pricing Manager","11 - 20 years",141204.000000
"Actuarial specialist","2 - 4 years",1045000.000000
Actuary,"31 - 40 years",173500.000000
Actuary,"5-7 years",126500.000000
Actuary,"11 - 20 years",122750.000000
Actuary,"8 - 10 years",91533.000000
"Actuary 1","2 - 4 years",62000.000000
acupuncturist,"11 - 20 years",110000.000000
"Ad policy manager","11 - 20 years",150000.000000
"Ad Traffic Coordinator","2 - 4 years",35360.000000
"Addictions Case Manager","11 - 20 years",50000.000000
"Additive Design Engineer","5-7 years",85000.000000
"Adivsor & Program Coordinator","5-7 years",45000.000000
Adjunct,"5-7 years",20000.000000
"Adjunct ESOL Instructor","21 - 30 years",45000.000000
"Adjunct Faculty Librarian","11 - 20 years",97000.000000
"Adjunct Instructor","21 - 30 years",43000.000000
"Adjunct Instructor","2 - 4 years",34200.000000
"Adjunct instructor","11 - 20 years",29550.000000
"Adjunct instructor","8 - 10 years",24425.000000
"Adjunct professor","8 - 10 years",38500.000000
"Adjunct Professor","11 - 20 years",37500.000000
"Adjunct Professor ","8 - 10 years",45000.000000
"Adjunct professor and exhibiting artist","8 - 10 years",27000.000000
Adjuster,"21 - 30 years",64000.000000
Adjuster,"2 - 4 years",54000.000000
Admin,"2 - 4 years",61400.000000
Admin,"31 - 40 years",53500.000000
Admin,"11 - 20 years",44790.000000
Admin,"1 year or less",36950.000000
Admin,"8 - 10 years",34800.000000
Admin,"5-7 years",21500.000000
"Admin / Data Entry","8 - 10 years",57000.000000
"Admin / Student Services ","11 - 20 years",42000.000000
"Admin & accounting","41 years or more",45000.000000
"Admin Assistant","21 - 30 years",57000.000000
"Admin Assistant","31 - 40 years",52000.000000
"Admin Assistant","8 - 10 years",45370.000000
"Admin assistant","2 - 4 years",45000.000000
"Admin Assistant","11 - 20 years",39200.000000
"Admin Assistant","5-7 years",30064.333333
"Admin assistant ","21 - 30 years",60000.000000
"Admin Assistant ","5-7 years",50821.000000
"Admin Assistant ","8 - 10 years",33480.000000
"Admin assistant ","11 - 20 years",20250.000000
"Admin Assistant (Freelance)","5-7 years",18137.000000
"Admin Assistant III","11 - 20 years",50000.000000
"Admin Assistant IV","21 - 30 years",46000.000000
"Admin Associate","5-7 years",27210.000000
"Admin Asst","31 - 40 years",51000.000000
"Admin Asst","5-7 years",42000.000000
"Admin Asst to VP and Development","31 - 40 years",41000.000000
"Admin Asst/Tech Writer","41 years or more",38250.000000
"Admin Coordiantor","21 - 30 years",62572.000000
"Admin Director ","8 - 10 years",42500.000000
"Admin manager","1 year or less",750000.000000
"Admin support","8 - 10 years",32600.000000
"Admin Support","2 - 4 years",18500.000000
"Admin Support Asst","31 - 40 years",35000.000000
"Admin Team Leader","11 - 20 years",29000.000000
"Admin. Assistant","5-7 years",35000.000000
"Admin. Assistant ","11 - 20 years",30000.000000
"Admin. Assistant/accounts payable","21 - 30 years",61000.000000
"Admin/Assistant/Broker Support","5-7 years",72040.000000
"Admin/Customer Service","21 - 30 years",36000.000000
"Admin/Marketing Coordinator","11 - 20 years",55000.000000
