Country,Job_Title,annual_salary
"Poland ","Executive Assistant ",108000.00
Policy,"Team Lead",112000.00
Portugal,"Staff Software Engineer",105000.00
"Portugal ",Contractor,75140.00
"Puerto Rico","Associate Attorney",42000.00
"Puerto Rico ","Executive Assistant ",80000.00
Qatar,"Field engineer",68000.00
Remote,"Senior analyst",85000.00
"Remote (philippines)","Content manager",64000.00
Romania,"Principal Product Designer",85000.00
"Russia ","Assistant ",15000.00
Rwanda,"Senior associate geotechnical engineer",65000.00
"San Francisco","User Operations Senior Associate",48000.00
"Saudi Arabia","Site reliability engineer",163200.00
Scotland,"Director of Engineering",95000.00
"Scotland ","Senior Compliance Associate ",70000.00
"Scotland, UK",Editor,39000.00
Serbia,"Senior Technical Sales Consultant",23400.00
"Sierra Leone","Country Director",97000.00
Singapore,"Product Manager",2111538.00
"Singapore ","Senior manager ",135000.00
Slovakia,"Web developer",140000.00
Slovenia," Foreman",20000.00
Somalia,"Program Manager",58000.00
"South Africa","Senior Engineer",1360000.00
"South Africa ","Associate Professor ",974400.00
"South Korea","TOEIC Test Developer",38000000.00
"South Korea ","Native English Teacher",22717.00
Spain,VP,214000.00
"Spain ","Senior principal system analyst",55000.00
"Sri Lanka","Machine Learning Engineer",2500000.00
ss,sdsd,4.00
Sweden,"Customer Service Specialist",2300000.00
"Sweden ","Brand Innovation Manager",780000.00
Switzerland,Director,250000.00
"Switzerland ","Head of Platform",150000.00
Taiwan,"Content creator",2000000.00
Tanzania,Pharmacist,24000000.00
Thailand,Doctor,800000.00
"The Netherlands","Director of Engineering ",150000.00
"The Netherlands ","Solutions Engineer",114000.00
"The United States","Planner, Chief Marketing Manager",75000.00
"The US",Physician,200000.00
"Trinidad and Tobago","Associate Attorney",62400.00
Turkey,"Computer Scientist",10000.00
"U. S ",Operations,400000.00
"U. S.","Scientist II",118000.00
"U. S. ","Research Associate III",108000.00
U.A.,"Vice President, Marketing",198000.00
U.K,"Molecular Scientist",35000.00
U.K.,"Software engineering manager",69000.00
"U.K. ","Executive Assistant ",120000.00
"U.K. (northern England)","Communications Executive",22330.00
U.S,"Software engineer",265000.00
U.S.,"Assistant Director",734400.00
"U.S. ","Sr. Program Mgr. Ethics and Compliance",149000.00
U.S.A,"Software Engineering Principal Member of Technical Staff ",188000.00
"U.S.A ","Interactive Writer ",75000.00
U.S.A.,"VP Product Marketing",250000.00
"U.S.A. ","Senior Compliance Analyst",85000.00
U.S>,"Program Officer",58000.00
U.SA,"Direct support  staff awake  driving ",32280.00
UA,"Associate Consultant",105000.00
UAE,"Proposals & Marketing Manager",98000.00
Uganda,Director,100000.00
UK,"Agricultural Supply line Negotiating consultant",910000.00
"UK ","Executive Director ",250000.00
"UK (England)","Associate Director",40000.00
"UK (Northern Ireland)","Senior Softwaare Engineer (Web)",65.00
"UK for U.S. company","Customer Service Rep",28080.00
"UK, but for globally fully remote company","Frontend developer",92000.00
"UK, remote","Head of Recruitment and Training",54700.00
"Ukraine ","Senior illustrator ",12000.00
"Uniited States","Transcription Coordinator",38000.00
"Unite States","Senior Software Engineer",171000.00
"United  States","Cusomer Success Consultant",48000.00
"United Arab Emirates ",Librarian,69000.00
"United Kindom","Senior Software Engineer",67526.00
"United Kingdom",Consultant,950000.00
"United Kingdom ","Interim CTO ",218000.00
"United Kingdom (England)","Senior Consultant",41000.00
"United Kingdom.","Senior Software Engineer",54000.00
"United Kingdomk","Office Manager",26000.00
"United Sates","Process Engineer",131000.00
"United Sates of America","Senior Data Analyst",105000.00
"United Stares","Marketing director",175000.00
"United Stares ",Owner,120000.00
"United State","Vice President of People and Culture ",152000.00
"United State of America","Director of Engineering",130000.00
"United State of America","Software Engineer (Front End)",130000.00
"United Statea","Director of Admin ",110000.00
"United Stated",RN,832000.00
"United Stateds",CTO,150000.00
"United Statees","Systems Librarian",56000.00
"United States","Japanese to English Translator",3600000.00
"United States ","Director of strategic initiatives ",700000.00
"United States (I work from home and my clients are all over the US/Canada/PR","Project Manager",99000.00
"United States is America","Graduate Assistant for Athletic Communications",15000.00
"United States of America","Associate Attorney",280000.00
"United States of America ","Senior Consultant ",140000.00
"United States of American","Executive Assistant",50000.00
"United States of American ","Senior Planner",100000.00
"United States of Americas","Digital Resources Professional",64000.00
"United States- Puerto Rico","Administrative Assistant",16000.00
"United Statesp","Technical Specialist III",125000.00
"United statew","1st line manager",62400.00
"United Statss","Manufacturing Planner/Cost Estimator",56000.00
"United Stattes","Executive Vice President, Communications",190000.00
"United Statues","User Experience Architecture Associate Manager",152800.00
"United Status",Associate,350000.00
"United Statws","Senior Librarian",68000.00
"United Sttes","Account Manager",83500.00
"United y","Media Specialist",43000.00
UnitedStates,"Senior engineer 1",130000.00
"Uniteed States","Senior Marketing Manager",65000.00
"Unitef Stated","Assistant Professor ",80000.00
"Uniter Statez","Accounts receivable admin",35000.00
"Unites kingdom ","Senior product designer ",80000.00
"Unites States","Service Sales Manager",120864.00
"Unites states ","Associate attorney ",180000.00
"Unitied States","Security Engineer",135000.00
"Uniyed states","Software Engineer",112200.00
"Uniyes States","Provider Relations Coordinator ",49900.00
"Unted States","Manager, Partner Engagement",59600.00
"Untied States","Underwriting Supervisor",39000.00
Uruguay,"Engineering manager ",84000.00
US,"Senior Policy Advisor",1334782.00
"US ","Executive Director",200000.00
"US ",Partner,200000.00
"US govt employee overseas, country withheld","Foreign Service Officer",82000.00
"US of A","Marketing Coordinator",44000.00
usa,bum,10000000.00
"USA ","Business Systems Analyst III",954000.00
"USA (company is based in a US territory, I work remote)","UX Designer",36000.00
"USA tomorrow ","Deputy Director Organizing ",91000.00
"USA tomorrow ","Deputy Director Organizing ",91000.00
